,timestamp,question,x,y,id,group_size,gaze_c
18994,63214,2,939,150,1130203,3,1
19004,63244,2,908,431,1130203,3,1
19014,63285,2,915,437,1130203,3,1
19024,63315,2,926,419,1130203,3,1
19035,63346,2,927,460,1130203,3,1
19045,63376,2,929,411,1130203,3,1
19055,63407,2,912,433,1130203,3,1
19065,63447,2,657,445,1130203,3,1
19075,63478,2,430,496,1130203,3,1
19085,63509,2,438,494,1130203,3,1
19095,63550,2,437,486,1130203,3,1
19105,63580,2,453,481,1130203,3,1
19115,63610,2,449,467,1130203,3,1
19125,63650,2,398,439,1130203,3,1
19135,63691,2,411,431,1130203,3,1
19145,63721,2,395,418,1130203,3,1
19155,63751,2,399,435,1130203,3,1
19165,63782,2,382,447,1130203,3,1
19175,63812,2,415,436,1130203,3,1
19185,63842,2,349,434,1130203,3,1
19195,63873,2,372,440,1130203,3,1
19205,63924,2,374,427,1130203,3,1
19215,63954,2,367,452,1130203,3,1
19225,63984,2,362,446,1130203,3,1
19235,64015,2,503,440,1130203,3,1
19245,64045,2,1161,447,1130203,3,1
